Word	Category
orso	bear	animal
cane	dog	animal
cavallo	horse	animal
scimmia	monkey	animal
gufo	owl	animal
coniglio	rabbit	animal
gabbiano	seagull	animal
passero	sparrow	animal
elefante	elephant	animal
gatto	cat	animal
leone	lion	animal
maiale	pig	animal
mucca	cow	animal
serpente	snake	animal
tigre	tiger	animal
topo	mouse	animal
poltrona	armchair	object
letto	bed	object
scopa	broom	object
sedia	chair	object
camicia	shirt	object
armadio	wardrobe	object
pettine	comb	object
giacca	jacket	object
pennello	paintbrush	object
spada	sword	object
gomma	rubber	object
pastello	crayon	object
penna	pen	object
quaderno	notebook	object
tenda	curtain	object
vaso	vase	object
