word	word_length	semantic_category	OLD20	wac_raw_frequency	wac_log10_frequency	opensubs_raw_frequency	opensubs_log10_frequency	joint_corpora_raw_frequency	joint_corpora_log10_frequency	aoa	concreteness	vision	smell	touch	taste	hearing	
orso	4	-1	4.0	10192	4.008259414991275	12987	4.113508840532819	23179	4.365094695482191	3.58	4.88	4.315789474	0.631578947	1.526315789	0.368421053	3.263157895	
cane	4	-1	4.0	56836	4.754623505584502	70729	4.849597517865396	127565	5.105731533382562	2.8	4.85	4.588235294	2.823529412	3.823529412	0.588235294	4.117647059	
cavallo	7	-1	7.0	52723	4.7220001141500125	38741	4.588170826730969	91464	4.961250190483773	4.15	5.0	4.647058824	1.588235294	3.411764706	0.235294118	3.294117647	
scimmia	7	-1	7.0	4691	3.6712654329471586	9376	3.9720175986740154	14067	4.148201487458512	4.21	4.9	3.80952381	1.333333333	1.380952381	0.0	2.80952381	
gufo	4	-1	4.0	2068	3.315550534421905	1948	3.2895889525425965	4016	3.603793704136963	6.21	4.93	4.647058824	0.294117647	1.058823529	0.058823529	3.941176471	
coniglio	8	-1	8.0	7597	3.880642126404285	8921	3.9504135393693813	16518	4.217957461776974	3.94	4.93	3.684210526	0.736842105	2.473684211	1.0	0.789473684	
gabbiano	8	-1	8.0	4278	3.631240780235509	665	2.8228216453031045	4943	3.693990610460777	5.42	5.0	4.058823529	1.058823529	1.411764706	0.352941176	3.588235294	
passero	7	-1	7.0	1763	3.246252312299322	4401	3.643551368562945	6164	3.7898626300463816	7.49	4.85	4.315789474	0.210526316	0.473684211	0.0	2.842105263	
elefante	8	-1	8.0	5320	3.7259116322950483	4432	3.646599751720373	9752	3.9890936926103255	4.8	5.0	4.35	1.95	1.95	0.0	3.35	
gatto	5	-1	5.0	28787	4.459196407798106	24558	4.390192995028913	53345	4.727093719464859	3.68	4.86	4.789473684	1.578947368	3.631578947	0.263157895	3.526315789	
leone	5	-1	5.0	37981	4.5795663950709455	8646	3.9368152311976328	46627	4.668637473671116	4.42	4.96	4.823529412	0.941176471	1.823529412	0.470588235	3.882352941	
maiale	6	-1	6.0	11938	4.076931574555656	15843	4.199837422208157	27781	4.4437478744709065	5.63	4.79	3.555555556	3.055555556	2.333333333	4.0	0.333333333	
mucca	5	-1	5.0	11335	4.054421524462536	5907	3.771366970857781	17242	4.236587640756995	3.94	4.96	3.95	2.4	2.15	1.25	2.75	
serpente	8	-1	8.0	9899	3.9955913242523535	10375	4.01598810538413	20274	4.30693944215854	5.1	5.0	4.4	0.05	1.9	0.05	2.35	
tigre	5	-1	5.0	8604	3.934700401715425	7392	3.8687619582120503	15996	4.204011395461484	4.0	5.0	4.470588235	0.529411765	1.294117647	0.0	2.764705882	
topo	4	-1	4.0	8447	3.926702494182645	10024	4.001041057986094	18471	4.266490408311144	4.94	4.83	4.076923077	0.692307692	1.743589744	0.051282051	2.743589744	
poltrona	8	1	8.0	12360	4.092018470752797	4425	3.6459132750338443	16785	4.224921345584032	6.56	5.0	4.578947368	0.473684211	4.052631579	0.0	0.684210526	
letto	5	1	5.0	190717	5.280389406612508	197771	5.29616260948904	388488	5.589377608428384	2.89	5.0	4.105263158	0.842105263	4.421052632	0.263157895	0.894736842	
scopa	5	1	5.0	3228	3.5089335260500327	6097	3.78511619502192	9325	3.9696488404807253	5.5	4.89	4.166666667	0.055555556	3.722222222	0.0	1.5	
sedia	5	1	5.0	18016	4.2556583731712525	24791	4.394294045352843	42807	4.6315147926766596	3.43	4.58	4.35	0.0	3.75	0.0	0.35	
camicia	7	1	7.0	11130	4.046495164334709	16571	4.219348717313578	27701	4.442495447282601	3.53	4.94	4.8	0.8	4.2	0.4	0.333333333	
armadio	7	1	7.0	7482	3.874017703862186	13381	4.126488570700374	20863	4.319376758058249	5.0	4.83	4.142857143	0.333333333	1.428571429	0.0	0.19047619	
pettine	7	1	7.0	2796	3.446537167073644	1195	3.0773679052841567	3991	3.6010817277840235	5.5	5.0	3.894736842	0.052631579	4.157894737	0.0	0.578947368	
giacca	6	1	6.0	10968	4.040127441781456	20480	4.311329952303793	31448	4.497593030812033	3.95	4.86	4.117647059	0.176470588	3.882352941	0.0	0.941176471	
pennello	8	1	8.0	5455	3.7367947549243605	1921	3.2835273648616936	7376	3.867820908045573	6.22	4.79	4.125	375.0	2.6875	0.0625	0.5625	
spada	5	1	5.0	32410	4.51067903103221	26172	4.417836911626325	58582	4.767764194490284	5.45	4.93	4.666666667	0.0	3.833333333	0.0	1.055555556	
gomma	5	1	5.0	17212	4.235831337410518	9546	3.979821430030225	26758	4.42745364940132	7.62	4.86	4.0	2.684210526	4.052631579	0.368421053	0.578947368	
pastello	8	1	8.0	2062	3.314288660947498	460	2.6627578316815743	2522	3.401745082237063	10.05	4.0	4.315789474	0.315789474	1.0	0.0	0.210526316	
penna	5	1	5.0	18094	4.257534585980679	12328	4.090892625710363	30422	4.483187761998763	5.11	4.92	4.210526316	0.157894737	4.315789474	0.052631579	0.526315789	
quaderno	8	1	8.0	6883	3.837777769553733	2047	3.311117842662506	8930	3.9508514588885464	10.38	4.67	4.0	0.0	1.8	0.0	0.2	
tenda	5	1	5.0	16388	4.214525955281105	8894	3.9490971251129157	25282	4.402811426991948	4.95	4.82	3.777777778	0.0	2.555555556	0.0	0.944444444	
vaso	4	1	4.0	10161	4.006936451364293	6421	3.8076026699164944	16582	4.219636910808963	7.89	5.0	4.166666667	0.166666667	3.277777778	0.0	0.333333333	
