word_one	word_two	raw_cooc	log10_cooc
cane	orso	116	2.0644579892269186
cavallo	orso	41	1.6127838567197355
orso	scimmia	10	1.0
gufo	orso	8	0.9030899869919435
coniglio	orso	21	1.3222192947339193
gabbiano	orso	2	0.3010299956639812
orso	passero	0	0
elefante	orso	13	1.1139433523068367
gatto	orso	44	1.6434526764861874
leone	orso	77	1.8864907251724818
maiale	orso	7	0.8450980400142568
mucca	orso	3	0.47712125471966244
orso	serpente	7	0.8450980400142568
orso	tigre	61	1.7853298350107671
orso	topo	23	1.3617278360175928
orso	poltrona	8	0.9030899869919435
letto	orso	75	1.8750612633917
orso	scopa	5	0.6989700043360189
orso	sedia	7	0.8450980400142568
camicia	orso	3	0.47712125471966244
armadio	orso	1	0.0
orso	pettine	0	0
giacca	orso	8	0.9030899869919435
orso	pennello	0	0
orso	spada	9	0.9542425094393249
gomma	orso	5	0.6989700043360189
orso	pastello	1	0.0
orso	penna	5	0.6989700043360189
orso	quaderno	1	0.0
orso	tenda	7	0.8450980400142568
orso	vaso	2	0.3010299956639812
cane	cavallo	354	2.5490032620257876
cane	scimmia	92	1.9637878273455553
cane	gufo	19	1.2787536009528289
cane	coniglio	236	2.3729120029701067
cane	gabbiano	9	0.9542425094393249
cane	passero	2	0.3010299956639812
cane	elefante	20	1.3010299956639813
cane	gatto	9715	3.9874428049358013
cane	leone	243	2.385606273598312
cane	maiale	113	2.05307844348342
cane	mucca	71	1.8512583487190752
cane	serpente	97	1.9867717342662448
cane	tigre	64	1.806179973983887
cane	topo	109	2.037426497940624
cane	poltrona	46	1.662757831681574
cane	letto	1131	3.053462604925455
cane	scopa	98	1.9912260756924949
cane	sedia	151	2.1789769472931693
camicia	cane	48	1.6812412373755872
armadio	cane	19	1.2787536009528289
cane	pettine	45	1.6532125137753437
cane	giacca	139	2.143014800254095
cane	pennello	18	1.255272505103306
cane	spada	31	1.4913616938342726
cane	gomma	148	2.1702617153949575
cane	pastello	5	0.6989700043360189
cane	penna	76	1.8808135922807914
cane	quaderno	12	1.0791812460476249
cane	tenda	60	1.7781512503836436
cane	vaso	44	1.6434526764861874
cavallo	scimmia	14	1.146128035678238
cavallo	gufo	5	0.6989700043360189
cavallo	coniglio	45	1.6532125137753437
cavallo	gabbiano	4	0.6020599913279624
cavallo	passero	4	0.6020599913279624
cavallo	elefante	37	1.568201724066995
cavallo	gatto	134	2.1271047983648077
cavallo	leone	129	2.110589710299249
cavallo	maiale	71	1.8512583487190752
cavallo	mucca	96	1.9822712330395684
cavallo	serpente	49	1.6901960800285136
cavallo	tigre	93	1.968482948553935
cavallo	topo	21	1.3222192947339193
cavallo	poltrona	27	1.4313637641589874
cavallo	letto	409	2.611723308007342
cavallo	scopa	221	2.3443922736851106
cavallo	sedia	71	1.8512583487190752
camicia	cavallo	66	1.8195439355418688
armadio	cavallo	9	0.9542425094393249
cavallo	pettine	12	1.0791812460476249
cavallo	giacca	72	1.8573324964312685
cavallo	pennello	40	1.6020599913279625
cavallo	spada	246	2.3909351071033793
cavallo	gomma	61	1.7853298350107671
cavallo	pastello	6	0.7781512503836436
cavallo	penna	60	1.7781512503836436
cavallo	quaderno	7	0.8450980400142568
cavallo	tenda	34	1.5314789170422551
cavallo	vaso	22	1.3424226808222062
gufo	scimmia	3	0.47712125471966244
coniglio	scimmia	19	1.2787536009528289
gabbiano	scimmia	2	0.3010299956639812
passero	scimmia	1	0.0
elefante	scimmia	10	1.0
gatto	scimmia	39	1.591064607026499
leone	scimmia	30	1.4771212547196624
maiale	scimmia	11	1.041392685158225
mucca	scimmia	9	0.9542425094393249
scimmia	serpente	23	1.3617278360175928
scimmia	tigre	24	1.380211241711606
scimmia	topo	16	1.2041199826559248
poltrona	scimmia	3	0.47712125471966244
letto	scimmia	76	1.8808135922807914
scimmia	scopa	3	0.47712125471966244
scimmia	sedia	9	0.9542425094393249
camicia	scimmia	3	0.47712125471966244
armadio	scimmia	1	0.0
pettine	scimmia	0	0
giacca	scimmia	5	0.6989700043360189
pennello	scimmia	5	0.6989700043360189
scimmia	spada	4	0.6020599913279624
gomma	scimmia	3	0.47712125471966244
pastello	scimmia	0	0
penna	scimmia	6	0.7781512503836436
quaderno	scimmia	0	0
scimmia	tenda	4	0.6020599913279624
scimmia	vaso	7	0.8450980400142568
coniglio	gufo	11	1.041392685158225
gabbiano	gufo	5	0.6989700043360189
gufo	passero	12	1.0791812460476249
elefante	gufo	5	0.6989700043360189
gatto	gufo	71	1.8512583487190752
gufo	leone	6	0.7781512503836436
gufo	maiale	2	0.3010299956639812
gufo	mucca	20	1.3010299956639813
gufo	serpente	15	1.1760912590556813
gufo	tigre	5	0.6989700043360189
gufo	topo	5	0.6989700043360189
gufo	poltrona	3	0.47712125471966244
gufo	letto	30	1.4771212547196624
gufo	scopa	3	0.47712125471966244
gufo	sedia	3	0.47712125471966244
camicia	gufo	4	0.6020599913279624
armadio	gufo	0	0
gufo	pettine	1	0.0
giacca	gufo	3	0.47712125471966244
gufo	pennello	2	0.3010299956639812
gufo	spada	15	1.1760912590556813
gomma	gufo	5	0.6989700043360189
gufo	pastello	1	0.0
gufo	penna	7	0.8450980400142568
gufo	quaderno	2	0.3010299956639812
