Word 1	Word 2	pearson_correlation	cosine_similarity
cane	orso	0.27682677139570006	0.2751357839165969
cavallo	orso	0.06233460975637057	0.06057737542211161
orso	scimmia	0.23514102678827842	0.23311984524605378
gufo	orso	0.21313886912787147	0.21254107573585557
coniglio	orso	0.2700450400205681	0.26351187807861154
gabbiano	orso	0.052413318559804925	0.047809489096218294
orso	passero	0.03937513065971916	0.040074711387502626
elefante	orso	0.38072032709533554	0.3798122314521536
gatto	orso	0.23818710179354347	0.23651755986598688
leone	orso	0.4501624653200045	0.4520618872024007
maiale	orso	0.1536905038389721	0.14977176142232262
mucca	orso	0.16916317612437712	0.16281684437123278
orso	serpente	0.07637692214342481	0.07902971169144302
orso	tigre	0.36839598357710784	0.37002210297785154
orso	topo	0.16444176420385923	0.15693423487783698
orso	poltrona	0.12051698685752171	0.12103216506308101
letto	orso	0.06518185118961904	0.06558330799283085
orso	scopa	-0.02581196237355962	-0.025123416573614277
orso	sedia	0.060933724684383864	0.06284827493782419
camicia	orso	0.05111840044451298	0.051563749597378306
armadio	orso	-0.004281677292283327	0.001391184919644961
orso	pettine	0.0250660615959377	0.02614431337251566
giacca	orso	0.06847596709817858	0.07173369630281945
orso	pennello	0.03849485952867043	0.03686577112239109
orso	spada	0.016737722564248072	0.022081738474647783
gomma	orso	0.053886462242963916	0.05167745300873561
orso	pastello	0.05206962549042936	0.049142521972511455
orso	penna	0.046995542270906514	0.047030842604917744
orso	quaderno	0.003756246716190348	0.003714773371830571
orso	tenda	-0.04679347193648947	-0.0455221052967858
orso	vaso	-0.006170391574029168	-0.006843871806269108
cane	cavallo	0.32157967536939036	0.32200658749257416
cane	scimmia	0.2517530917657462	0.25220946985994996
cane	gufo	0.08402914863204979	0.08411441697379285
cane	coniglio	0.41201756918516497	0.412196528020184
cane	gabbiano	0.09143415268578506	0.09284468235280097
cane	passero	0.020697970880436727	0.0203904202929992
cane	elefante	0.22659046739965297	0.22665902506611435
cane	gatto	0.6670970261933105	0.6672600753801033
cane	leone	0.289152888029264	0.28714097684696693
cane	maiale	0.2944389198919159	0.29515004382768395
cane	mucca	0.2382079121148292	0.23914064344949082
cane	serpente	0.1599524648377892	0.15856710756650294
cane	tigre	0.19313067410160173	0.1918501192595009
cane	topo	0.23132407912076133	0.23224950414090784
cane	poltrona	0.025826390920091532	0.025538842931162598
cane	letto	0.0822756039396291	0.08205431654663065
cane	scopa	0.08439757371931808	0.08411686873094204
cane	sedia	0.04518948963898348	0.04434058192868062
camicia	cane	0.06245180965360249	0.062227141096685035
armadio	cane	-0.07599749967596046	-0.07780482091032703
cane	pettine	0.16800553972927892	0.16748940364232667
cane	giacca	0.07119423700178652	0.06965631345695977
cane	pennello	0.06953781750998653	0.0701062119400202
cane	spada	0.029522433617408195	0.02722478106725934
cane	gomma	0.016787340939094352	0.01759374933883029
cane	pastello	0.07522505681356982	0.07620733632180432
cane	penna	0.15044343554775366	0.1503653099334631
cane	quaderno	0.020963912884815295	0.02097301600353929
cane	tenda	-0.05444719022153856	-0.054889953996599905
cane	vaso	0.025217139850153107	0.02547836246959012
cavallo	scimmia	0.06680888727915542	0.06759189593043324
cavallo	gufo	0.030064363373188113	0.030195172020339278
cavallo	coniglio	0.29900451564648206	0.30032487242348993
cavallo	gabbiano	-0.03364694443158186	-0.03119292659875117
cavallo	passero	0.01015792410497833	0.009743771571142812
cavallo	elefante	0.28683487952324355	0.2868758387161616
cavallo	gatto	0.21112455492183274	0.21164518722466863
cavallo	leone	0.18275139363909787	0.18044666719173907
cavallo	maiale	0.3133650895129128	0.31445358336990337
cavallo	mucca	0.49354122514253623	0.49388597638596554
cavallo	serpente	0.10389183947167853	0.10216811749982013
cavallo	tigre	0.1259128133218121	0.12432978454148846
cavallo	topo	0.09735733317466375	0.1000243483866472
cavallo	poltrona	0.07728211953997774	0.07686224340784109
cavallo	letto	0.09612935167501971	0.0958135995599424
cavallo	scopa	0.1373120980368367	0.13689603081180657
cavallo	sedia	0.10113441467941298	0.09992339196109079
camicia	cavallo	0.009527060684209535	0.009240991186558745
armadio	cavallo	-0.009004273582520888	-0.0119747534643464
cavallo	pettine	0.09571869352203906	0.09505658069430689
cavallo	giacca	0.030936812750401055	0.028987687984522115
cavallo	pennello	0.10521287870158848	0.10595767281546165
cavallo	spada	0.19908695317171407	0.1951109833557545
cavallo	gomma	-0.02441418182903182	-0.023268128403368227
cavallo	pastello	0.06981702626834634	0.07118714112049629
cavallo	penna	0.1758865328610162	0.17575183321529286
cavallo	quaderno	0.04007852683157691	0.040080106726381626
cavallo	tenda	0.057591803792903386	0.05691671257613162
cavallo	vaso	0.03460376150812139	0.03495181760455701
gufo	scimmia	0.2341256176109871	0.2341670103535639
coniglio	scimmia	0.3072738826931973	0.3084569272412866
gabbiano	scimmia	0.03462632108428809	0.036742736373916896
passero	scimmia	0.11007350079800082	0.10962680411763981
elefante	scimmia	0.45552131993227707	0.45549465330019434
gatto	scimmia	0.28929672978540677	0.28974606770703903
leone	scimmia	0.3857883917801728	0.38308252628900497
maiale	scimmia	0.3129463824714574	0.3139720491602458
mucca	scimmia	0.22787654892560716	0.22945607115893263
scimmia	serpente	0.25924149410042613	0.2573123019175251
scimmia	tigre	0.3000032612968405	0.298219884016623
scimmia	topo	0.29669200251139305	0.29788113444984565
poltrona	scimmia	0.1112781569156855	0.11086016850036184
letto	scimmia	0.006524400398764136	0.006262924722015062
scimmia	scopa	0.11411236759090626	0.11372634687693084
scimmia	sedia	0.062137594744772734	0.061017837787301965
camicia	scimmia	0.12506382231237914	0.12473796570116746
armadio	scimmia	0.015310951988987666	0.012327699185070484
pettine	scimmia	0.03746597842024543	0.036867411936748584
giacca	scimmia	0.013496236761393767	0.01166737145345298
pennello	scimmia	0.08797848548657504	0.08870646653019021
scimmia	spada	0.00983872232621535	0.00698873620703655
gomma	scimmia	0.20449504514629355	0.20533865234062543
pastello	scimmia	0.14179769194262018	0.14298876402933303
penna	scimmia	0.08221397658153407	0.08212571799290336
quaderno	scimmia	-0.03844236669900554	-0.03840854905657243
scimmia	tenda	0.052565295363549674	0.05192163827106289
scimmia	vaso	-0.018615269421486735	-0.018255576521647443
coniglio	gufo	0.2947575766440919	0.2939824449825543
gabbiano	gufo	0.366048277151037	0.36528746336211926
gufo	passero	0.44299081228940035	0.44287585006513486
elefante	gufo	0.21203346440446197	0.2120556367578278
gatto	gufo	0.26656362861532246	0.2666027055501323
gufo	leone	0.2176979732775304	0.21695642893292977
gufo	maiale	0.11050048565066029	0.11059018974894153
gufo	mucca	0.1318062633062557	0.131663970709317
gufo	serpente	0.19801087801032766	0.19748719023594197
gufo	tigre	0.23021939090525653	0.2297336370225067
gufo	topo	0.15514750626325785	0.15471007043887364
gufo	poltrona	0.08233746377256428	0.0822670866794265
gufo	letto	0.06235822053560321	0.06231041274056992
gufo	scopa	-0.023407580248950875	-0.023462846117064062
gufo	sedia	0.04264130342577561	0.04243051506311013
camicia	gufo	0.0403286707584654	0.04027994775095589
armadio	gufo	-0.028379187810142526	-0.028728723196800976
gufo	pettine	0.02051654254348381	0.0204130403640137
giacca	gufo	0.02998715663214376	0.029617639893814274
gufo	pennello	-0.0354723397279298	-0.0353205813055979
gufo	spada	-0.08045592592031006	-0.08054381433865276
gomma	gufo	0.053252914327849454	0.05339860481952041
gufo	pastello	0.0929414294061575	0.09306807713455123
gufo	penna	0.12502939505559776	0.12501820797471408
gufo	quaderno	-0.022932216593264033	-0.02292878417365274
gufo	tenda	0.031822848027570134	0.03171012548443619
gufo	vaso	0.0639985168795902	0.06405319387333419
coniglio	gabbiano	0.0790139661270775	0.08559753255964009
coniglio	passero	0.2088144213934364	0.20668190184369373
coniglio	elefante	0.3208300396422848	0.3200283585381819
coniglio	gatto	0.432933745293021	0.43308425237422643
coniglio	leone	0.3145822144214473	0.30695744326275765
coniglio	maiale	0.4403385326977252	0.44326581600497195
coniglio	mucca	0.30434575352631726	0.3103986244565786
coniglio	serpente	0.1917507766437007	0.18598978497672802
coniglio	tigre	0.25154643002795973	0.24597691635616903
coniglio	topo	0.3850546139035022	0.391232373619683
coniglio	poltrona	0.025842146619167297	0.024569952088183467
coniglio	letto	0.03926852806504091	0.03827866157633719
coniglio	scopa	0.14440009888904037	0.14273343545593908
coniglio	sedia	0.07111742753159078	0.06741316224824867
camicia	coniglio	0.04149483663582038	0.04045944444195415
armadio	coniglio	0.006228231616392563	-0.0030899044200898285
coniglio	pettine	0.1185614400871899	0.11620843070311493
coniglio	giacca	0.10713441408573207	0.1007372053919231
coniglio	pennello	0.027488973440280437	0.029916284701172913
coniglio	spada	0.005733302552972577	-0.003261779641378526
coniglio	gomma	0.06189002280367079	0.0650172803095973
coniglio	pastello	0.07015266218261447	0.07433899399170285
coniglio	penna	0.1769513406905888	0.17604636017292496
coniglio	quaderno	-0.007643916762689891	-0.007553806503217242
coniglio	tenda	0.04288147368812615	0.04074410565384845
coniglio	vaso	0.06014113516522256	0.061010085340873266
gabbiano	passero	0.4402990046860918	0.43779385407356775
elefante	gabbiano	0.028947154696472494	0.029313352084452626
gabbiano	gatto	0.17646056709014205	0.17764380175856165
gabbiano	leone	0.16030155312098954	0.1545169274704189
gabbiano	maiale	0.040459859836873516	0.0451043961861296
gabbiano	mucca	0.04941802081304341	0.056614721130350154
gabbiano	serpente	0.05683524886217291	0.052479346806917127
gabbiano	tigre	0.07064388019997293	0.06664061771172669
gabbiano	topo	0.042052828165676584	0.05053022378549932
gabbiano	poltrona	0.04800984644344444	0.04684340746971516
gabbiano	letto	0.03629958846862881	0.03546552773173939
gabbiano	scopa	0.06391177516680147	0.06278371162302532
gabbiano	sedia	0.050115061799246144	0.046997711725745295
camicia	gabbiano	0.10770583349664979	0.10661432121998882
armadio	gabbiano	-0.06981845572520275	-0.07729632940384779
gabbiano	pettine	0.025969408787537007	0.02428129674099988
gabbiano	giacca	0.09240295283083158	0.08693247419442163
gabbiano	pennello	0.012588835742733246	0.014765214099133117
gabbiano	spada	0.00919448893866832	0.0013369520708585991
gabbiano	gomma	-0.07715921358462309	-0.07388166410574826
gabbiano	pastello	0.008466997390819011	0.012402059032672219
gabbiano	penna	0.09473043322674606	0.09428178193785364
gabbiano	quaderno	-0.021349539321057976	-0.021231933981093576
gabbiano	tenda	0.03479838439204157	0.03298388066281177
gabbiano	vaso	-0.004069366953369972	-0.003080502841226851
