Word 1	Word 2	pearson_correlation	cosine_similarity
cane	orso	0.8389457060954689	0.8720431327819824
cavallo	orso	0.7378186702133586	0.7861601114273071
orso	scimmia	0.7223548820111113	0.7773630023002625
gufo	orso	0.7611358338552741	0.8075326681137085
coniglio	orso	0.8200953439846945	0.8571978807449341
gabbiano	orso	0.7364612295954541	0.7832969427108765
orso	passero	0.707860950448417	0.7541256546974182
elefante	orso	0.8387500829746416	0.8741703033447266
gatto	orso	0.8254850742453658	0.8622701168060303
leone	orso	0.8188304078314497	0.8534191250801086
maiale	orso	0.7827793487262312	0.8215478658676147
mucca	orso	0.7639656725672742	0.8081488609313965
orso	serpente	0.7947089799280286	0.8366913199424744
orso	tigre	0.8002753272708228	0.8407092690467834
orso	topo	0.8235693977104286	0.8612075448036194
orso	poltrona	0.5923334243053134	0.6554240584373474
letto	orso	0.6094161958288196	0.6631250977516174
orso	scopa	0.692904000778105	0.7389259338378906
orso	sedia	0.6151826829501492	0.6751425266265869
camicia	orso	0.6605168616604185	0.7123289704322815
armadio	orso	0.7126783581548608	0.7575780153274536
orso	pettine	0.5877300334251483	0.6498377323150635
giacca	orso	0.6687556322547789	0.7166889309883118
orso	pennello	0.6942796184078759	0.7371305823326111
orso	spada	0.6592420059690004	0.7096574306488037
gomma	orso	0.6215627932602068	0.6785798668861389
orso	pastello	0.6548669817651661	0.6975488066673279
orso	penna	0.6867268759593083	0.736147940158844
orso	quaderno	0.6431021041626579	0.6907622218132019
orso	tenda	0.6673476931515268	0.7158714532852173
orso	vaso	0.690895500790642	0.7344450354576111
cane	cavallo	0.7992793857482456	0.8357746601104736
cane	scimmia	0.6601229882936629	0.7267798781394958
cane	gufo	0.791567378466954	0.8316332101821899
cane	coniglio	0.8704490174820515	0.8968474268913269
cane	gabbiano	0.7264924214933552	0.7748249173164368
cane	passero	0.7050547324429669	0.7515988945960999
cane	elefante	0.8099083837423245	0.851070761680603
cane	gatto	0.9263280098202437	0.9415977001190186
cane	leone	0.848567820729001	0.8771907091140747
cane	maiale	0.7875711762019797	0.8252385258674622
cane	mucca	0.7401051900229508	0.7884362936019897
cane	serpente	0.8040879876379984	0.8436911702156067
cane	tigre	0.7446393566608231	0.795778214931488
cane	topo	0.866322922207433	0.8943778276443481
cane	poltrona	0.6255306066436827	0.6826747059822083
cane	letto	0.6717684936240722	0.7153983116149902
cane	scopa	0.6840142283455541	0.7313582897186279
cane	sedia	0.6108617656275199	0.67116379737854
camicia	cane	0.6332877599846536	0.6893904209136963
armadio	cane	0.6769955940851409	0.7277888655662537
cane	pettine	0.607109695429783	0.665644645690918
cane	giacca	0.6626397552914978	0.7114094495773315
cane	pennello	0.750978651019152	0.7845791578292847
cane	spada	0.6533744489519768	0.7045443058013916
cane	gomma	0.6367476317073233	0.6909446716308594
cane	pastello	0.6431302878213044	0.6876038908958435
cane	penna	0.6864242509318997	0.7356564998626709
cane	quaderno	0.7284771797008698	0.7625898718833923
cane	tenda	0.6457456500036672	0.6976298093795776
cane	vaso	0.7756586619177359	0.8053839802742004
cavallo	scimmia	0.6534008328193833	0.7153500914573669
cavallo	gufo	0.7345920352798195	0.7813317179679871
cavallo	coniglio	0.7945980499533655	0.8320335149765015
cavallo	gabbiano	0.6567221545258103	0.713347315788269
cavallo	passero	0.6472933706802979	0.7004634141921997
cavallo	elefante	0.7631120809951442	0.807955265045166
cavallo	gatto	0.7507888893911202	0.797029435634613
cavallo	leone	0.7782582941496201	0.816942572593689
cavallo	maiale	0.6995437486608778	0.7495284080505371
cavallo	mucca	0.7031653251331095	0.7541167140007019
cavallo	serpente	0.7562505479552561	0.8006329536437988
cavallo	tigre	0.7119529207705652	0.7641962766647339
cavallo	topo	0.7849450244413557	0.8248564600944519
cavallo	poltrona	0.5606233772742351	0.6243770122528076
cavallo	letto	0.6316070726599303	0.679726243019104
cavallo	scopa	0.6419011898292171	0.6934857368469238
cavallo	sedia	0.5946886225893927	0.6539717316627502
camicia	cavallo	0.6286835712599944	0.6825016140937805
armadio	cavallo	0.622112502059248	0.6786664724349976
cavallo	pettine	0.6291517201256606	0.6813684701919556
cavallo	giacca	0.6097956294670847	0.6642696261405945
cavallo	pennello	0.6870235478952388	0.7295745611190796
cavallo	spada	0.6654315235607274	0.7125080823898315
cavallo	gomma	0.655046520391629	0.703881025314331
cavallo	pastello	0.6134286146503476	0.6609101891517639
cavallo	penna	0.6497513724537377	0.7021220922470093
cavallo	quaderno	0.6983567255467148	0.7366293668746948
cavallo	tenda	0.6386552897522402	0.6892215609550476
cavallo	vaso	0.7201852571234622	0.758052408695221
gufo	scimmia	0.6905068999502907	0.7483428716659546
coniglio	scimmia	0.7182818850603356	0.7736702561378479
gabbiano	scimmia	0.7288206490744447	0.7756723761558533
passero	scimmia	0.6763766422901952	0.7269270420074463
elefante	scimmia	0.7522356415062309	0.8037168383598328
gatto	scimmia	0.6654012160629331	0.7325106263160706
leone	scimmia	0.7354143455256682	0.7843160629272461
maiale	scimmia	0.7156517858663455	0.7653154730796814
mucca	scimmia	0.8394645681256696	0.8684589862823486
scimmia	serpente	0.7103425443274404	0.7668898105621338
scimmia	tigre	0.8584162176023817	0.8858007192611694
scimmia	topo	0.712014773387897	0.7703400254249573
poltrona	scimmia	0.7343395922525259	0.7731006741523743
letto	scimmia	0.572823222402984	0.6311212182044983
scimmia	scopa	0.7194425236532587	0.7605199813842773
scimmia	sedia	0.7645988095134999	0.7990421652793884
camicia	scimmia	0.753748777295867	0.7896009087562561
armadio	scimmia	0.6067141812490281	0.6681246161460876
pettine	scimmia	0.5811567218661317	0.6427299976348877
giacca	scimmia	0.7762206139360177	0.8066360354423523
pennello	scimmia	0.643971142457655	0.6942200064659119
scimmia	spada	0.7495464591126719	0.7848305702209473
gomma	scimmia	0.7431907691791794	0.7797040939331055
pastello	scimmia	0.6406990603572995	0.6852845549583435
penna	scimmia	0.7585256911576774	0.7952075004577637
quaderno	scimmia	0.5812656902464303	0.6376619338989258
scimmia	tenda	0.7594247570993978	0.7927396297454834
scimmia	vaso	0.6643532312999483	0.711575984954834
coniglio	gufo	0.8301818682184856	0.8628445267677307
gabbiano	gufo	0.710602737998714	0.7600483894348145
gufo	passero	0.7343284020341754	0.7750771641731262
elefante	gufo	0.7501424368587418	0.8008795976638794
gatto	gufo	0.8052465947500637	0.8433106541633606
gufo	leone	0.8277068775530801	0.8590813279151917
gufo	maiale	0.7056369812602749	0.7564279437065125
gufo	mucca	0.7369829001830953	0.7839731574058533
gufo	serpente	0.8213098344725559	0.8554999232292175
gufo	tigre	0.7524296723773161	0.7995262145996094
gufo	topo	0.7928240883324619	0.8336923122406006
gufo	poltrona	0.6055719886983805	0.6642849445343018
gufo	letto	0.5987389233458237	0.6527017951011658
gufo	scopa	0.6630257516046975	0.7126854062080383
gufo	sedia	0.6075193114513103	0.666576087474823
camicia	gufo	0.6354234721615881	0.6896881461143494
armadio	gufo	0.6418428248838417	0.6969681978225708
gufo	pettine	0.6102249834694348	0.6667076349258423
giacca	gufo	0.6804759320004669	0.7255629897117615
gufo	pennello	0.7009540480390468	0.7421759963035583
gufo	spada	0.663346228114521	0.7118402123451233
gomma	gufo	0.6288200583948711	0.6829138398170471
gufo	pastello	0.6588219318233923	0.7006254196166992
gufo	penna	0.7090254377658016	0.753430962562561
gufo	quaderno	0.6830127223163347	0.7239699363708496
gufo	tenda	0.6488810766031067	0.699127733707428
gufo	vaso	0.7411040347376291	0.776338517665863
coniglio	gabbiano	0.762990160494806	0.8047419786453247
coniglio	passero	0.7173074056397193	0.7618076801300049
coniglio	elefante	0.7991028762191598	0.8428642749786377
coniglio	gatto	0.9015563593813253	0.9220748543739319
coniglio	leone	0.8572808535088621	0.8842799663543701
coniglio	maiale	0.8327402945667826	0.8621465563774109
coniglio	mucca	0.8005615776425238	0.8375603556632996
coniglio	serpente	0.8496732778940053	0.880156397819519
coniglio	tigre	0.7697321193246913	0.8159854412078857
coniglio	topo	0.894074430854814	0.9163651466369629
coniglio	poltrona	0.6821838016942021	0.7299540638923645
coniglio	letto	0.653178104657268	0.6997777819633484
coniglio	scopa	0.6987317917228215	0.7436690330505371
coniglio	sedia	0.6777301633644024	0.7268982529640198
camicia	coniglio	0.7118713494295928	0.754903256893158
armadio	coniglio	0.6943143526944431	0.7422255277633667
coniglio	pettine	0.6510689837230911	0.7024540901184082
coniglio	giacca	0.7191899672295562	0.7587447166442871
coniglio	pennello	0.7716267299792849	0.8018512725830078
coniglio	spada	0.6884864945227287	0.7339220643043518
coniglio	gomma	0.6939400764012268	0.7387468218803406
coniglio	pastello	0.7354253323994321	0.7656685709953308
coniglio	penna	0.7384862035735724	0.7788972854614258
coniglio	quaderno	0.7225194551358884	0.75754714012146
coniglio	tenda	0.6622815839773813	0.7115127444267273
coniglio	vaso	0.7888671209370188	0.816407322883606
gabbiano	passero	0.7869889161983086	0.8182182908058167
elefante	gabbiano	0.6904842906351842	0.7478736639022827
gabbiano	gatto	0.7196139608592852	0.7699276804924011
gabbiano	leone	0.7444141759665673	0.7876824140548706
gabbiano	maiale	0.6967428583339358	0.7459007501602173
gabbiano	mucca	0.6938238322466777	0.7449182868003845
gabbiano	serpente	0.7342201363822882	0.781012773513794
gabbiano	tigre	0.738417794232193	0.7841923832893372
gabbiano	topo	0.7092455192589014	0.7618812322616577
gabbiano	poltrona	0.6590229352281538	0.7072171568870544
gabbiano	letto	0.6161057091440035	0.6656110286712646
gabbiano	scopa	0.6591184138825821	0.707244873046875
gabbiano	sedia	0.6468855705288344	0.6973490715026855
camicia	gabbiano	0.6768892065429297	0.7226747870445251
armadio	gabbiano	0.6080818351258653	0.6655305027961731
gabbiano	pettine	0.6105478925721525	0.6644585728645325
gabbiano	giacca	0.7005672705152667	0.7412199974060059
gabbiano	pennello	0.6580448399985378	0.704036295413971
gabbiano	spada	0.6489092214073788	0.6975393295288086
gabbiano	gomma	0.6741702969607202	0.7194094657897949
gabbiano	pastello	0.6646249636506322	0.7047432065010071
gabbiano	penna	0.6994825197367378	0.7434139251708984
