word_one	word_two	raw_cooc	log10_cooc
cane	orso	83	1.919078092376074
cavallo	orso	52	1.7160033436347992
orso	scimmia	46	1.662757831681574
gufo	orso	12	1.0791812460476249
coniglio	orso	35	1.5440680443502757
gabbiano	orso	0	0
orso	passero	1	0.0
elefante	orso	31	1.4913616938342726
gatto	orso	77	1.8864907251724818
leone	orso	66	1.8195439355418688
maiale	orso	5	0.6989700043360189
mucca	orso	6	0.7781512503836436
orso	serpente	18	1.255272505103306
orso	tigre	93	1.968482948553935
orso	topo	9	0.9542425094393249
orso	poltrona	2	0.3010299956639812
letto	orso	28	1.4471580313422192
orso	scopa	0	0
orso	sedia	6	0.7781512503836436
camicia	orso	1	0.0
armadio	orso	0	0
orso	pettine	0	0
giacca	orso	6	0.7781512503836436
orso	pennello	0	0
orso	spada	22	1.3424226808222062
gomma	orso	10	1.0
orso	pastello	0	0
orso	penna	4	0.6020599913279624
orso	quaderno	0	0
orso	tenda	29	1.462397997898956
orso	vaso	2	0.3010299956639812
cane	cavallo	275	2.439332693830263
cane	scimmia	53	1.7242758696007892
cane	gufo	5	0.6989700043360189
cane	coniglio	78	1.8920946026904804
cane	gabbiano	2	0.3010299956639812
cane	passero	5	0.6989700043360189
cane	elefante	17	1.2304489213782739
cane	gatto	470	2.6720978579357175
cane	leone	86	1.9344984512435677
cane	maiale	41	1.6127838567197355
cane	mucca	14	1.146128035678238
cane	serpente	78	1.8920946026904804
cane	tigre	21	1.3222192947339193
cane	topo	70	1.845098040014257
cane	poltrona	8	0.9030899869919435
cane	letto	165	2.2174839442139063
cane	scopa	11	1.041392685158225
cane	sedia	34	1.5314789170422551
camicia	cane	8	0.9030899869919435
armadio	cane	20	1.3010299956639813
cane	pettine	8	0.9030899869919435
cane	giacca	21	1.3222192947339193
cane	pennello	8	0.9030899869919435
cane	spada	44	1.6434526764861874
cane	gomma	7	0.8450980400142568
cane	pastello	0	0
cane	penna	8	0.9030899869919435
cane	quaderno	2	0.3010299956639812
cane	tenda	29	1.462397997898956
cane	vaso	12	1.0791812460476249
cavallo	scimmia	17	1.2304489213782739
cavallo	gufo	2	0.3010299956639812
cavallo	coniglio	33	1.5185139398778875
cavallo	gabbiano	1	0.0
cavallo	passero	0	0
cavallo	elefante	54	1.7323937598229686
cavallo	gatto	53	1.7242758696007892
cavallo	leone	62	1.792391689498254
cavallo	maiale	54	1.7323937598229686
cavallo	mucca	42	1.6232492903979006
cavallo	serpente	64	1.806179973983887
cavallo	tigre	27	1.4313637641589874
cavallo	topo	19	1.2787536009528289
cavallo	poltrona	2	0.3010299956639812
cavallo	letto	123	2.089905111439398
cavallo	scopa	42	1.6232492903979006
cavallo	sedia	37	1.568201724066995
camicia	cavallo	27	1.4313637641589874
armadio	cavallo	14	1.146128035678238
cavallo	pettine	4	0.6020599913279624
cavallo	giacca	19	1.2787536009528289
cavallo	pennello	20	1.3010299956639813
cavallo	spada	349	2.5428254269591797
cavallo	gomma	12	1.0791812460476249
cavallo	pastello	2	0.3010299956639812
cavallo	penna	7	0.8450980400142568
cavallo	quaderno	0	0
cavallo	tenda	36	1.5563025007672873
cavallo	vaso	30	1.4771212547196624
gufo	scimmia	1	0.0
coniglio	scimmia	22	1.3424226808222062
gabbiano	scimmia	1	0.0
passero	scimmia	1	0.0
elefante	scimmia	16	1.2041199826559248
gatto	scimmia	27	1.4313637641589874
leone	scimmia	28	1.4471580313422192
maiale	scimmia	13	1.1139433523068367
mucca	scimmia	4	0.6020599913279624
scimmia	serpente	16	1.2041199826559248
scimmia	tigre	27	1.4313637641589874
scimmia	topo	9	0.9542425094393249
poltrona	scimmia	2	0.3010299956639812
letto	scimmia	29	1.462397997898956
scimmia	scopa	0	0
scimmia	sedia	22	1.3424226808222062
camicia	scimmia	1	0.0
armadio	scimmia	12	1.0791812460476249
pettine	scimmia	0	0
giacca	scimmia	2	0.3010299956639812
pennello	scimmia	1	0.0
