word_one	word_two	raw_cooc	log10_cooc
cane	orso	340	2.531478917042255
cavallo	orso	167	2.2227164711475833
orso	scimmia	232	2.3654879848909
gufo	orso	205	2.311753861055754
coniglio	orso	208	2.3180633349627615
gabbiano	orso	8	0.9030899869919435
orso	passero	12	1.0791812460476249
elefante	orso	172	2.2355284469075487
gatto	orso	258	2.41161970596323
leone	orso	401	2.603144372620182
maiale	orso	137	2.1367205671564067
mucca	orso	67	1.8260748027008264
orso	serpente	110	2.041392685158225
orso	tigre	173	2.2380461031287955
orso	topo	64	1.806179973983887
orso	poltrona	3	0.47712125471966244
letto	orso	186	2.2695129442179165
orso	scopa	11	1.041392685158225
orso	sedia	80	1.9030899869919435
camicia	orso	43	1.6334684555795866
armadio	orso	20	1.3010299956639813
orso	pettine	5	0.6989700043360189
giacca	orso	31	1.4913616938342726
orso	pennello	0	0
orso	spada	87	1.9395192526186185
gomma	orso	28	1.4471580313422192
orso	pastello	1	0.0
orso	penna	38	1.5797835966168101
orso	quaderno	4	0.6020599913279624
orso	tenda	11	1.041392685158225
orso	vaso	44	1.6434526764861874
cane	cavallo	1125	3.0511525224473814
cane	scimmia	228	2.357934847000454
cane	gufo	57	1.7558748556724915
cane	coniglio	447	2.6503075231319366
cane	gabbiano	13	1.1139433523068367
cane	passero	47	1.6720978579357175
cane	elefante	142	2.1522883443830563
cane	gatto	6401	3.8062478271957905
cane	leone	252	2.401400540781544
cane	maiale	325	2.5118833609788744
cane	mucca	247	2.392696953259666
cane	serpente	131	2.1172712956557644
cane	tigre	149	2.173186268412274
cane	topo	260	2.4149733479708178
cane	poltrona	12	1.0791812460476249
cane	letto	813	2.910090545594068
cane	scopa	25	1.3979400086720377
cane	sedia	322	2.507855871695831
camicia	cane	33	1.5185139398778875
armadio	cane	16	1.2041199826559248
cane	pettine	30	1.4771212547196624
cane	giacca	128	2.1072099696478683
cane	pennello	1	0.0
cane	spada	52	1.7160033436347992
cane	gomma	103	2.012837224705172
cane	pastello	2	0.3010299956639812
cane	penna	60	1.7781512503836436
cane	quaderno	13	1.1139433523068367
cane	tenda	20	1.3010299956639813
cane	vaso	30	1.4771212547196624
cavallo	scimmia	136	2.1335389083702174
cavallo	gufo	66	1.8195439355418688
cavallo	coniglio	125	2.0969100130080562
cavallo	gabbiano	7	0.8450980400142568
cavallo	passero	15	1.1760912590556813
cavallo	elefante	347	2.5403294747908736
cavallo	gatto	359	2.5550944485783194
cavallo	leone	463	2.6655809910179533
cavallo	maiale	250	2.3979400086720375
cavallo	mucca	308	2.4885507165004443
cavallo	serpente	93	1.968482948553935
cavallo	tigre	81	1.9084850188786497
cavallo	topo	71	1.8512583487190752
cavallo	poltrona	41	1.6127838567197355
cavallo	letto	305	2.484299839346786
cavallo	scopa	35	1.5440680443502757
cavallo	sedia	167	2.2227164711475833
camicia	cavallo	23	1.3617278360175928
armadio	cavallo	35	1.5440680443502757
cavallo	pettine	15	1.1760912590556813
cavallo	giacca	52	1.7160033436347992
cavallo	pennello	3	0.47712125471966244
cavallo	spada	187	2.271841606536499
cavallo	gomma	48	1.6812412373755872
cavallo	pastello	1	0.0
cavallo	penna	103	2.012837224705172
cavallo	quaderno	33	1.5185139398778875
cavallo	tenda	15	1.1760912590556813
cavallo	vaso	20	1.3010299956639813
gufo	scimmia	54	1.7323937598229686
coniglio	scimmia	93	1.968482948553935
gabbiano	scimmia	0	0
passero	scimmia	11	1.041392685158225
elefante	scimmia	165	2.2174839442139063
gatto	scimmia	162	2.2095150145426308
leone	scimmia	254	2.404833716619938
maiale	scimmia	74	1.8692317197309762
mucca	scimmia	25	1.3979400086720377
scimmia	serpente	99	1.99563519459755
scimmia	tigre	226	2.3541084391474008
scimmia	topo	72	1.8573324964312685
poltrona	scimmia	0	0
letto	scimmia	73	1.863322860120456
scimmia	scopa	7	0.8450980400142568
scimmia	sedia	18	1.255272505103306
camicia	scimmia	17	1.2304489213782739
armadio	scimmia	2	0.3010299956639812
pettine	scimmia	1	0.0
giacca	scimmia	18	1.255272505103306
pennello	scimmia	4	0.6020599913279624
scimmia	spada	27	1.4313637641589874
gomma	scimmia	15	1.1760912590556813
pastello	scimmia	1	0.0
penna	scimmia	14	1.146128035678238
quaderno	scimmia	3	0.47712125471966244
scimmia	tenda	3	0.47712125471966244
scimmia	vaso	3	0.47712125471966244
coniglio	gufo	44	1.6434526764861874
gabbiano	gufo	1	0.0
gufo	passero	119	2.075546961392531
elefante	gufo	13	1.1139433523068367
gatto	gufo	133	2.123851640967086
gufo	leone	41	1.6127838567197355
gufo	maiale	11	1.041392685158225
gufo	mucca	7	0.8450980400142568
gufo	serpente	136	2.1335389083702174
gufo	tigre	23	1.3617278360175928
gufo	topo	68	1.8325089127062364
gufo	poltrona	0	0
gufo	letto	36	1.5563025007672873
gufo	scopa	3	0.47712125471966244
gufo	sedia	6	0.7781512503836436
camicia	gufo	1	0.0
armadio	gufo	3	0.47712125471966244
gufo	pettine	8	0.9030899869919435
giacca	gufo	7	0.8450980400142568
gufo	pennello	0	0
gufo	spada	32	1.505149978319906
gomma	gufo	3	0.47712125471966244
gufo	pastello	0	0
gufo	penna	38	1.5797835966168101
gufo	quaderno	0	0
gufo	tenda	6	0.7781512503836436
gufo	vaso	22	1.3424226808222062
coniglio	gabbiano	1	0.0
coniglio	passero	22	1.3424226808222062
coniglio	elefante	43	1.6334684555795866
