Word 1	Word 2	pearson_correlation	cosine_similarity
giacca	orso	0.8615425498889971	0.8615557546919251
giacca	pennello	0.8959178060745061	0.8959287433335184
cane	giacca	0.9003748400739758	0.9003834224855545
giacca	maiale	0.8708872780125537	0.8708981175996561
giacca	leone	0.9003941047355399	0.9004040235151032
coniglio	giacca	0.8913969636384129	0.8914073100580018
armadio	giacca	0.8745498669691509	0.8745576839292307
giacca	serpente	0.8937854321339869	0.8937959331223734
gatto	giacca	0.8981750288159207	0.8981843638878076
elefante	giacca	0.8780439926188648	0.8780543145795523
giacca	gomma	0.9174475097811317	0.9174562736371055
giacca	passero	0.8633569138325455	0.8633671258528022
giacca	scimmia	0.9088428626403231	0.9088528200837473
giacca	tigre	0.9066230904925008	0.9066332149378545
giacca	pastello	0.8866554094480205	0.8866664153939827
giacca	penna	0.9072817753919653	0.9072918822419032
giacca	letto	0.8924733168622274	0.8924845672028581
giacca	scopa	0.9127375915328171	0.9127469222779259
giacca	poltrona	0.9123569730826233	0.9123661655186346
giacca	sedia	0.9017855111998985	0.9017964211226239
cavallo	giacca	0.9057238558861589	0.9057342400033254
giacca	gufo	0.8681194100297043	0.8681321838462599
giacca	pettine	0.8743784407528767	0.8743908617854312
camicia	giacca	0.9481971408124237	0.9482023539467461
giacca	mucca	0.9237326602029179	0.9237404022249414
giacca	tenda	0.8799495206287268	0.8799626285538062
giacca	spada	0.9027209513873735	0.9027315354750007
giacca	topo	0.883170295390722	0.8831822599846945
giacca	quaderno	0.8914828861972453	0.891494279151208
gabbiano	giacca	0.8835964570524724	0.8836043155478355
giacca	vaso	0.8975439771267788	0.897554655923683
orso	pennello	0.8847752725992335	0.8847862961245205
cane	orso	0.8960125293477152	0.8960213920712534
maiale	orso	0.8778545637796569	0.8778646882247965
leone	orso	0.9042728018363173	0.904281639420861
coniglio	orso	0.8971056632530786	0.89711495802352
armadio	orso	0.8874317292156978	0.8874390136576823
orso	serpente	0.9039611587497267	0.9039700013782718
gatto	orso	0.9015961002181656	0.9016047248410598
elefante	orso	0.9158471158563779	0.9158540504064688
gomma	orso	0.8729667257418245	0.8729788800623622
orso	passero	0.8736031005981533	0.87361253324541
orso	scimmia	0.8848629676126445	0.8848740119548
orso	tigre	0.8969100595089359	0.8969197383992342
orso	pastello	0.8849044984127955	0.8849148358168937
orso	penna	0.8774225300737221	0.8774342102970388
letto	orso	0.8713792653127105	0.8713916057498309
orso	scopa	0.8873134277168744	0.8873242330888065
orso	poltrona	0.8707385778784755	0.8707509388209922
orso	sedia	0.8681287182898995	0.8681416151039449
cavallo	orso	0.8893776954283337	0.8893880268250144
gufo	orso	0.8844098644098877	0.8844203550853688
orso	pettine	0.8664697339429261	0.8664820829286348
camicia	orso	0.8738985362590488	0.873910402570083
mucca	orso	0.8897965971517035	0.8898069307583364
orso	tenda	0.8657668887207	0.8657798736076905
orso	spada	0.8817795383283562	0.8817907914916396
orso	topo	0.895453822982427	0.8954638823652566
orso	quaderno	0.8826426009524467	0.8826537307218889
gabbiano	orso	0.8818784607415984	0.8818866394953014
orso	vaso	0.892139225241275	0.8921493931037887
cane	pennello	0.9165757119491921	0.9165827265079952
maiale	pennello	0.8825786543738681	0.8825882777069768
leone	pennello	0.918209642256984	0.9182178425325792
coniglio	pennello	0.917586829504716	0.9175946407200368
armadio	pennello	0.8879007590818254	0.8879073173934603
pennello	serpente	0.9308801586520341	0.9308870544156106
gatto	pennello	0.9152517578232294	0.9152593611618688
elefante	pennello	0.9002204200843908	0.9002286548219196
gomma	pennello	0.9096698622443015	0.9096798205034763
passero	pennello	0.8898066978331428	0.8898143664654243
pennello	scimmia	0.8948739364272702	0.89488561900154
pennello	tigre	0.9029923236332726	0.9030031003317267
pastello	pennello	0.9309087364455364	0.9309153162179953
penna	pennello	0.9662394762544173	0.9662430629306137
letto	pennello	0.9074636469851751	0.907473376375637
pennello	scopa	0.9084168706465019	0.9084268464249613
pennello	poltrona	0.9218112161083514	0.9218195179588587
pennello	sedia	0.9066892707640672	0.9066996967922372
cavallo	pennello	0.9188177507153592	0.9188267467570733
gufo	pennello	0.8900340322919948	0.8900446875886213
pennello	pettine	0.9275303072332491	0.9275375821887593
camicia	pennello	0.9022547692409205	0.9022649027857429
mucca	pennello	0.8966332225740246	0.8966438374955731
pennello	tenda	0.8852965483627566	0.8853093069618326
pennello	spada	0.9127736109380852	0.9127831874423892
pennello	topo	0.9051334517222414	0.9051433271457985
pennello	quaderno	0.9134527084653928	0.9134619694278058
gabbiano	pennello	0.8935437289485478	0.8935504543986942
pennello	vaso	0.9006213569220101	0.9006316410115177
cane	maiale	0.905658328897132	0.9056657093591126
cane	leone	0.931589795702647	0.9315955797197801
cane	coniglio	0.9385305205490195	0.9385356593531625
armadio	cane	0.8767109127630485	0.876719170753599
cane	serpente	0.9464636133627242	0.9464681470235
cane	gatto	0.9412339500843506	0.9412389217198388
cane	elefante	0.9293599293523521	0.9293656739575986
cane	gomma	0.9104958687598523	0.9105035375452672
cane	passero	0.9008664258310002	0.9008737993348958
cane	scimmia	0.9101542518153871	0.910161674421803
cane	tigre	0.9167257555342536	0.916732683975822
cane	pastello	0.9007529185302636	0.900761457976764
cane	penna	0.9107565259854364	0.9107635932043021
cane	letto	0.9211247328563044	0.9211315576070801
cane	scopa	0.9191529675540583	0.9191596953112816
cane	poltrona	0.9032376262046681	0.9032456986244334
cane	sedia	0.9008027219387408	0.9008107654847511
cane	cavallo	0.9439999874659426	0.9440035359973364
cane	gufo	0.8923817407657741	0.8923910699492342
cane	pettine	0.8903092068208733	0.8903188100110097
camicia	cane	0.9050593397289959	0.9050674892189856
cane	mucca	0.9148568776478809	0.9148642508865593
cane	tenda	0.8845253262233128	0.8845352966836318
cane	spada	0.902541992988612	0.9025502216430622
cane	topo	0.9447986580962997	0.9448033883923109
cane	quaderno	0.9080151780955583	0.9080231084471638
cane	gabbiano	0.9074243843358714	0.9074307686144872
cane	vaso	0.9069074882164448	0.9069155854624514
leone	maiale	0.9049359297224501	0.904943596445399
